respondent_id,age_group,gender,occupation,monthly_income,region,current_smartphone_brand,current_phone_spend,smartphone_replacement_frequency,typical_smartphone_budget,purchase_channel,price_importance,brand_reputation,performance_importance,camera_importance,battery_importance,storage_importance,display_importance,design_importance,online_reviews_importance,recommendations_importance,discounts_importance,after_sales_importance,connectivity_importance,ai_features_importance,price_statement_agreement,less_expensive_choice_likelihood,budget_stretch_likelihood,online_review_check_frequency,recommendation_influence,future_same_brand_likelihood,current_brand_satisfaction,previous_brand_experience_importance,purchase_next_12_months,greatest_purchase_driver,desired_improvement
R001,35–44,Male,Professional,"₹25,000–₹49,999",West India,OnePlus,"Below ₹10,000",2–3 years,"Below ₹10,000",Physical electronics store,3,4,4,3,5,3,3,3,3,3,2,4,3,3,4,3,5,Rarely,3,2,4,4,3,Battery life,Lower prices
R002,25–34,Male,Student,"₹1,00,000–₹1,49,999",North India,Vivo,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Online marketplace,4,3,4,3,3,4,3,4,2,3,4,3,3,2,4,4,4,Rarely,3,4,5,3,4,Design,Better battery life
R003,45–54,Female,Self-employed / Business,"Below ₹25,000",Central India,Google Pixel,"₹20,000–₹29,999",Less than 1 year,"₹20,000–₹29,999",Online marketplace,2,5,4,3,3,3,2,4,3,5,4,3,4,3,3,3,5,Rarely,3,3,4,5,4,Recommendations,Faster charging
R004,35–44,Prefer not to say,Student,No personal income,West India,OnePlus,"₹20,000–₹29,999",3–4 years,"₹20,000–₹29,999",Online marketplace,4,4,3,4,4,3,3,4,2,4,4,3,3,4,5,4,3,Rarely,5,3,4,5,2,Recommendations,Better camera quality
R005,18–24,Male,Salaried employee,"₹25,000–₹49,999",North India,Samsung,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Online marketplace,2,5,4,4,3,4,3,3,5,4,4,4,4,3,2,3,4,Sometimes,5,2,3,4,3,Camera quality,More durable design
R006,55 and above,Female,Self-employed / Business,"₹75,000–₹99,999",North India,OnePlus,"₹50,000–₹74,999",3–4 years,"₹50,000–₹74,999",Online marketplace,2,5,4,3,4,4,3,3,3,3,4,3,3,3,2,3,4,Rarely,4,5,5,4,3,Performance,Better performance
R007,35–44,Male,Retired,"₹75,000–₹99,999",South India,OnePlus,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Online marketplace,5,5,3,3,5,4,3,4,1,3,5,4,3,3,5,5,3,Never,3,4,5,5,3,Discounts / Offers,Lower prices
R008,35–44,Female,Salaried employee,Prefer not to say,West India,Apple,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Physical electronics store,5,5,4,4,3,4,4,4,4,2,4,3,3,4,4,4,4,Sometimes,4,3,5,4,3,Design,Better performance
R009,18–24,Female,Student,"₹25,000–₹49,999",West India,Apple,"₹75,000–₹99,999",1–2 years,"₹75,000–₹99,999",Online marketplace,3,4,4,3,4,4,3,4,1,4,4,3,2,3,4,2,4,Never,2,5,5,4,4,Performance,Better performance
R010,25–34,Male,Salaried employee,"₹25,000–₹49,999",North India,Vivo,"₹10,000–₹19,999",1–2 years,"₹10,000–₹19,999",Online marketplace,2,4,5,4,2,4,3,4,3,4,4,5,3,5,3,3,4,Rarely,4,5,5,4,3,After-sales service,Better after-sales service
